Title,Price,Year,City,Link,Image URL,Description
Komabajn CLAAS DOMINATOR 58 - super oferta!!!,65000,1989,Zator,https://www.olx.pl/d/oferta/komabajn-claas-dominator-58-super-oferta-CID757-ID11Gg3n.html,https://ireland.apollo.olxcdn.com:443/v1/files/c1ceqe6n3dou3-PL/image,"Oferuję do sprzedaży kombajn Claas Dominator 58, rok produkcji 1989, garażownay, stan bardzo dobry, nie myty wodą, który na wyposażeniu posiada: - silnik 4 - cylindrowy PERKINS, - nowego typu heder, wysuwane hydraulicznie motowidła, - szerokość hedera 3 m, - sieczkarnia słomy, - nowe szerokie opony z przodu i z tyłu, - hydraulicznie otwierana rura, - powiększony zbiornik na zboże, Zadzwoń, napewno się dogadamy!! T e l. 6 0 7 0 6 1 3 0 5"
Heder do kukurydzy Claas Conspeed 6-75,98000,2010,Kazanów,https://www.olx.pl/d/oferta/heder-do-kukurydzy-claas-conspeed-6-75-CID757-ID11Odkv.html,https://ireland.apollo.olxcdn.com:443/v1/files/c56iml4fmqtr1-PL/image,"Witam sprzedam przystawkę do kukurydzy Claas conspeed 6-75 FC świeżo sprowadzona Rok 2010 6 rzędy, 75cm, Noże docinające, Adaptacja do claas lexion i tucano. Stan b dobty. cena 98000 zł"
Otrząsarka do owoców,18000,2023,Zawichost,https://www.olx.pl/d/oferta/otrzasarka-do-owocow-CID757-IDZDe7i.html,https://ireland.apollo.olxcdn.com:443/v1/files/l86mnw7da9s4-PL/image,Witam posiadam na sprzedaż Otrzasarke do wiśni firmy Jagoda model Pestka . Maszyna jest nowa z 2023 roku. Przepracowała jeden sezon. Więcej info udzielę telefonicznie 60*****13
Kombajn ziemniaczany,12500,1986,Cieszanów,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-CID757-IDV78GB.html,https://ireland.apollo.olxcdn.com:443/v1/files/8elaafid3pye2-PL/image,Kombajn ziemniaczany Grimme Europa Standard
Kombajn ziemniaczany ANNA Z644 AGROMET,21700,1992,Droblin,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-anna-z644-agromet-CID757-IDVDFJF.html,https://ireland.apollo.olxcdn.com:443/v1/files/k2yxsrgcunjc-PL/image,"Sprzedam kombajn ziemniaczany ANNA Z644, AGROMET - PIONIER z 1992 r. Stan bardzo dobry. Więcej zdjęć mogę podesłać na maila. Cena do rozsądnej negocjacji."
CLAAS MEGA 203 ładny stan,172000,1995,Toporów,https://www.olx.pl/d/oferta/claas-mega-203-ladny-stan-CID757-ID11T4Gr.html,https://ireland.apollo.olxcdn.com:443/v1/files/yildkb30v0c1-PL/image,"Claas mega 203 z roku 1995 przebieg 3500 godzin pełen oryginał nic nie wymieniane nie wydarte i nie do remontu. używany na małym prywatnym gospodarstwie , posiada idealny heder na grubym ślimaku 4 metrowy z którym można sie wszędzie poruszać bez odpinania. klimatyzacja , siekacz słomy, komputer pokładowy, wózek do hedera , duży zbiornik ziarna długie sita i wytrząsacze jak w mega 204. kombajn garażowany zadbany godny polecenia. jak nie odbieram to oddzwonie, nie odpisuje na smsy i wiadomości bo nie mam czasu"
Kombajn ziemniaczany Anna Z-644,15500,1990,Mądre,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-anna-z-644-CID757-ID10y5oS.html,https://ireland.apollo.olxcdn.com:443/v1/files/nrzqfslkklpk3-PL/image,"Dzień dobry, sprzedam kombajn ziemniaczany Anna Z-644. Stan dobry. Nowa przekładnia, nowa górka palcowa. Stół przebierczy na pasie. Wysyp hydrauliczny. Dodatkowo przystawka do cebuli."
Sieczkarnia do kukurydzy Deutz Fahr MH500 sprawna z WOM-em i stojakiem,4600,1999,Michów,https://www.olx.pl/d/oferta/sieczkarnia-do-kukurydzy-deutz-fahr-mh500-sprawna-z-wom-em-i-stojakiem-CID757-IDViNqm.html,https://ireland.apollo.olxcdn.com:443/v1/files/37m68zx3zwl12-PL/image,Sieczkarnia do kukurydzy Deutz Fahr MH500 z stojakiem/podstawa na kolkach przydatne do transpotu w hali uzywana sprawna kompletna z WOM-em rura wyrzutowa i czuby sa do transprtu zdemontowane stan jak na zdjeciach Przywieziona z Niemiec malo uzywana Po uzgodnieniu mozliwosc transportu
Claas lexion 770 tylny naped,539900,2011,Tuchola,https://www.olx.pl/d/oferta/claas-lexion-770-tylny-naped-CID757-IDJrO7i.html,https://ireland.apollo.olxcdn.com:443/v1/files/jvem6i46cj7o-PL/image,"Claas lexion 770 , 2011 rok, tylny napęd, heder 10.5 vario, heder z 2012 ,laser pilot ,automatyczne prowadzenie, GPS, mapowanie pola, kwantymetr, cruiser pilot,.W kombajnie przeprowadzono remont na kwotę 360000 zł przez serwis claas i ma przepracowane po remoncie 500 ha, wymieniono cały środek kombajnu szczegóły na telefon 7.9.8 .7.5.6. .5.4.3."
Kombajn zbożowy Dronningborg D3000 CASE DANIA Massey Ferguson!,69700,1990,Targowisko,https://www.olx.pl/d/oferta/kombajn-zbozowy-dronningborg-d3000-case-dania-massey-ferguson-CID757-ID11W3tZ.html,https://ireland.apollo.olxcdn.com:443/v1/files/cvpsgwui20x82-PL/image,"Przedmiotem sprzedaży jest kombajn zbożowy Dronningborg D3000. Kombajn sprowadzony z Danii!. Szerokość robocza 3,3m. Silnik Valmet+ Turbo! Rok produkcji; 1990. Maszyna w stanie idealnym! Świeżo sprowadzony! Sieczkarnia! Czujnik strat! Czujnik awarii! Gotowy do sezonu! Kupiony z gospodarstwa! Świadczę transport na terenie całego kraju!"
Claas lexion 570 4x4,270000,2007,Lipno,https://www.olx.pl/d/oferta/claas-lexion-570-4x4-CID757-IDYeLzp.html,https://ireland.apollo.olxcdn.com:443/v1/files/9t7op07j02po3-PL/image,"Claas lexion 570. Stan bdb. Heder 9m vario. Kosa boczna elektryczna. Orginalny naped 4x4 Mud Dog. Waga wilgotnosciomierz, drukarka. Silnik cat c13. Od rolnika."
Kombajn do ziemniaków Anna.,10000,1986,Biernatki,https://www.olx.pl/d/oferta/kombajn-do-ziemniakow-anna-CID757-ID11P3Ct.html,https://ireland.apollo.olxcdn.com:443/v1/files/vzhe1esf9eva2-PL/image,"Sprzedam kombajn do ziemniaków Anna Z-644 . Rok produkcji 1986 . Wysyp na listwach , plandeka , stan dobry . Więcej informacji udzielę telefonicznie ."
Droningborg 4500,59000,1990,Feliksówka,https://www.olx.pl/d/oferta/droningborg-4500-CID757-ID11W26m.html,https://ireland.apollo.olxcdn.com:443/v1/files/cirtnqttele62-PL/image,"Witam! Do sprzedania droningborg 4500, kombajn z prywatnych rąk, przepracował u mnie pięć sezonów bez żadnych problemów. Kombajn w bardzo dobrym stanie, heder 3.70 w kosie. Zainteresowanych proszę o kontakt telefoniczny.6*9*6*6*3*2*8*2*2"
"Claas Lexion 450  Heder 6,6M z wózkiem, Sieczkarnia, Rozpylacz plew !!!",285000,1998,Dziewule,https://www.olx.pl/d/oferta/claas-lexion-450-heder-6-6m-z-wozkiem-sieczkarnia-rozpylacz-plew-CID757-ID10LXtP.html,https://ireland.apollo.olxcdn.com:443/v1/files/r0zjnqyqpykl-PL/image,"Sprzedam Kombajn do zboża !!! Cena: 285000 pln !!! Brutto !!! Marża !!! Claas Lexion 450 Rocznik: 1998 Silnik: 275 KM Przebieg: Silnik: 3354 H !!! Młocarnia: 2545 H Wyposażenie: Skrzynia: Hydrostatyczna Heder: C660 (6,6M) Auto Contour z wózkiem Radio, Klimatyzacja !!! Klima działa !!! Sieczkarnia !!! Rozpylacz plew !!! Maszyna w znakomitym stanie !!! Cena: 285 000 !!! Brutto Marża !!! Możliwość finansowania: KREDYT/LEASING ZAPEWNIAMY TRANSPORT NA TERENIE CAŁEGO KRAJU !!! Tel.: Tel.: Maszynę można obejrzeć pod adresem: Firma AGRIGROUP Adres Dziewule (na kolonii) ul. Północna 15 08-106 Zbuczyn W ofercie także mnóstwo innych maszyn, głównie traktorów, kombajnów, sieczkarni, ładowarek teleskopowych i innego sprzętu rolniczego !!! Zapraszamy Pon.-pt.: 8.00 - 17.00 Sobota: 10.00 - 14.00 AGRIGROUP"
Claas Dominator 98SL Klima Rok 1997 ŁADNY 4000Mtg,135000,1997,Radzyń Podlaski,https://www.olx.pl/d/oferta/claas-dominator-98sl-klima-rok-1997-ladny-4000mtg-CID757-ID1117tV.html,https://ireland.apollo.olxcdn.com:443/v1/files/x9xbjcbkqnts2-PL/image,Kombajn świeżo sprowadzony. Nie pracował w Polsce. Claas Dominator 98SL Classic 97rok Ładny Sprawny. Silnik Mercedesa. Mtg 4100 Hydrostat. Klimatyzacja sprawna. Czujniki. Sieczkarnia. Heder C510 na grubym ślimaku lub 390cm na zwykłym lub 450 cm na zwykłym. MOGĘ SPRZEDAĆ KOMBAJN BEZ HEDERA. Kombajn po przeglądzie. Stan bardzo dobry. Sprzedaję na Umowa kupno - sprzedaż Możliwość transportu.
"Claas Lexion 550 heder 6,6 Vario, Nie Malowany, Stan Idealny",329000,2005,Prusinowice,https://www.olx.pl/d/oferta/claas-lexion-550-heder-6-6-vario-nie-malowany-stan-idealny-CID757-ID11vO4M.html,https://ireland.apollo.olxcdn.com:443/v1/files/wtge4jladhwd2-PL/image,"Claas Lexion 550 , rok produkcji 2005, 3180mtg na silniku, 2500 mtg na mlocarni, heder 6,6 Vario, wyposazenie do rzepaku, wozek transportowy, zasysacz kurzu, rozpylacz plew, system 3D, silnik Caterpillar C9, Nie Malowany, Stan Idealny CENA NETTO kombajn podobny do - Claas Lexion 540, 560*********** 460**********,600, 66*******50 Mega 360*********,218, John Deere WTS,CTS,T 660,670, W 650, 660 New Holland CX 88*******080,8060,8070,"
kombajn Claas Dominator 114cs,93000,1985,Chojnice,https://www.olx.pl/d/oferta/kombajn-claas-dominator-114cs-CID757-ID11aiEu.html,https://ireland.apollo.olxcdn.com:443/v1/files/v6yhdhmglq27-PL/image,"Kombajn claas dominator 114 cs, hydrostat, szerokie ogumienie, sprowadzony z Dani, przygotowany do żniw. heder 6 metrów"
Kombajn Massey Ferguson 34 mf 1998 4.95 power flow mf tasmy,144000,1998,Karskie,https://www.olx.pl/d/oferta/kombajn-massey-ferguson-34-mf-1998-4-95-power-flow-mf-tasmy-CID757-ID11bmkU.html,https://ireland.apollo.olxcdn.com:443/v1/files/cav1u8alwq1r2-PL/image,"Kombajn w bardzo dobrym stanie, wyposażony w szarpacz slomy, rozrzutnik plew, terminal DataVision w jezyku polskim. Heder 4,95 power flow - z tasmami oraz wozkiem transportowym. Oświetlenie klimatyzacja oraz kamera cofania w pelni sprawne. Zainteresowanym odpowiem na wszelkie pytania."
Kombajn Bizon Rekord Z058,165000,2002,Siedlce,https://www.olx.pl/d/oferta/kombajn-bizon-rekord-z058-CID757-ID10Pb1o.html,https://ireland.apollo.olxcdn.com:443/v1/files/i96qvofyrcm7-PL/image,"Sprzedam kombajn Bizon Rekord Z058 2002 rok produkcji kombajn sterowany joystickiem długa gardziel duża chłodnica kombajn przepracował 1260mtg na młocarni i 1409mtg silniku, kombajn bardzo zadbany garażowany, 100% sprawny nigdzie nie spawany, cały w oryginale, opony 80% bieżnika, stan idealny cena 165000zl do negocjacji na umowę telefon 517x116x290"
Kombajn Laverda 624 New Holland Okazja,90000,1998,Gomunice,https://www.olx.pl/d/oferta/kombajn-laverda-624-new-holland-okazja-CID757-ID11W0ir.html,https://ireland.apollo.olxcdn.com:443/v1/files/prgwv1k4efy63-PL/image,"Okazja !!! Sprzedam kombajn Laverda 624 , New Holland ,Fiatagri Świeżo sprowadzony z zagranicy Rok produkcji 1998 lift naklejki boczne - husarja Stan dobry Sprawny technicznie Kombajn 5 lat nie używany, bo poprzedni właściciel przebywał w zakładzie karnym Silnik w bdb stanie ,pali na dotyk, dymka nie puści Zalany płynem Podzespoły w dobrym stanie, ale wymagany przegląd bo długo stał Klima do przeglądu Heder na wózku 6 m jeszcze nie przywieziony z zagranicy bo przywieziony został heder do kukurydzy , słonecznika Sieczkarnia Czujniki strat Poziomowanie poprzeczne hedery Sita w dobrym stanie Podajniki w bdb stanie Zbita przednia szyba podczas załadunku ,ale już zamówiłem nową ma być założona do 3 tyg . Opony przód jak nowe 90 % bieżnika Bateria w bdb stanie Możliwy transport Info 6.0.6.5.5.5.8.0.5 Hedery do kukurydzy i słonecznika Więcej info na tel ."
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Komabajn CLAAS DOMINATOR 58 - super oferta!!!,65000,1989,Zator,https://www.olx.pl/d/oferta/komabajn-claas-dominator-58-super-oferta-CID757-ID11Gg3n.html,https://ireland.apollo.olxcdn.com:443/v1/files/c1ceqe6n3dou3-PL/image,"Oferuję do sprzedaży kombajn Claas Dominator 58, rok produkcji 1989, garażownay, stan bardzo dobry, nie myty wodą, który na wyposażeniu posiada: - silnik 4 - cylindrowy PERKINS, - nowego typu heder, wysuwane hydraulicznie motowidła, - szerokość hedera 3 m, - sieczkarnia słomy, - nowe szerokie opony z przodu i z tyłu, - hydraulicznie otwierana rura, - powiększony zbiornik na zboże, Zadzwoń, napewno się dogadamy!! T e l. 6 0 7 0 6 1 3 0 5"
Heder do kukurydzy Claas Conspeed 6-75,98000,2010,Kazanów,https://www.olx.pl/d/oferta/heder-do-kukurydzy-claas-conspeed-6-75-CID757-ID11Odkv.html,https://ireland.apollo.olxcdn.com:443/v1/files/c56iml4fmqtr1-PL/image,"Witam sprzedam przystawkę do kukurydzy Claas conspeed 6-75 FC świeżo sprowadzona Rok 2010 6 rzędy, 75cm, Noże docinające, Adaptacja do claas lexion i tucano. Stan b dobty. cena 98000 zł"
Otrząsarka do owoców,18000,2023,Zawichost,https://www.olx.pl/d/oferta/otrzasarka-do-owocow-CID757-IDZDe7i.html,https://ireland.apollo.olxcdn.com:443/v1/files/l86mnw7da9s4-PL/image,Witam posiadam na sprzedaż Otrzasarke do wiśni firmy Jagoda model Pestka . Maszyna jest nowa z 2023 roku. Przepracowała jeden sezon. Więcej info udzielę telefonicznie 60*****13
Kombajn ziemniaczany,12500,1986,Cieszanów,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-CID757-IDV78GB.html,https://ireland.apollo.olxcdn.com:443/v1/files/8elaafid3pye2-PL/image,Kombajn ziemniaczany Grimme Europa Standard
Kombajn ziemniaczany ANNA Z644 AGROMET,21700,1992,Droblin,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-anna-z644-agromet-CID757-IDVDFJF.html,https://ireland.apollo.olxcdn.com:443/v1/files/k2yxsrgcunjc-PL/image,"Sprzedam kombajn ziemniaczany ANNA Z644, AGROMET - PIONIER z 1992 r. Stan bardzo dobry. Więcej zdjęć mogę podesłać na maila. Cena do rozsądnej negocjacji."
CLAAS MEGA 203 ładny stan,172000,1995,Toporów,https://www.olx.pl/d/oferta/claas-mega-203-ladny-stan-CID757-ID11T4Gr.html,https://ireland.apollo.olxcdn.com:443/v1/files/yildkb30v0c1-PL/image,"Claas mega 203 z roku 1995 przebieg 3500 godzin pełen oryginał nic nie wymieniane nie wydarte i nie do remontu. używany na małym prywatnym gospodarstwie , posiada idealny heder na grubym ślimaku 4 metrowy z którym można sie wszędzie poruszać bez odpinania. klimatyzacja , siekacz słomy, komputer pokładowy, wózek do hedera , duży zbiornik ziarna długie sita i wytrząsacze jak w mega 204. kombajn garażowany zadbany godny polecenia. jak nie odbieram to oddzwonie, nie odpisuje na smsy i wiadomości bo nie mam czasu"
Kombajn ziemniaczany Anna Z-644,15500,1990,Mądre,https://www.olx.pl/d/oferta/kombajn-ziemniaczany-anna-z-644-CID757-ID10y5oS.html,https://ireland.apollo.olxcdn.com:443/v1/files/nrzqfslkklpk3-PL/image,"Dzień dobry, sprzedam kombajn ziemniaczany Anna Z-644. Stan dobry. Nowa przekładnia, nowa górka palcowa. Stół przebierczy na pasie. Wysyp hydrauliczny. Dodatkowo przystawka do cebuli."
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
Title,Price,Year,City,Link,Image URL,Description
